frame,pID,unitID,x,y
1440,1,120,1195,3589
1440,1,169,1215,3604
1560,0,5,555,948
1560,0,9,613,956
1560,0,17,587,939
1560,0,33,555,852
1560,1,167,1300,3525
1560,0,39,920,2188
1560,0,34,736,912
1560,1,53,1300,3555
1560,0,172,594,868
1560,1,171,1344,3472
1560,1,166,1258,3604
1560,1,75,1344,3472
1560,0,168,612,984
1560,0,165,619,994
1560,0,170,802,961
1560,1,164,1387,3565
1560,0,97,587,843
1560,0,100,683,956
1560,0,174,804,922
1560,1,102,529,2847
1560,1,110,1432,3604
1560,1,120,1263,3537
1560,1,175,496,2848
1560,1,169,1195,3604
1680,0,5,555,948
1680,0,9,587,956
1680,0,17,646,936
1680,1,176,1344,3472
1680,0,33,555,852
1680,1,167,1300,3636
1680,0,39,927,2287
1680,0,34,736,912
1680,1,53,1300,3604
1680,0,172,587,868
1680,1,171,1291,3604
1680,1,166,1305,3541
1680,1,75,1344,3472
1680,0,168,587,1012
1680,0,165,557,1011
1680,0,170,801,954
1680,1,164,1387,3634
1680,0,97,587,843
1680,0,100,587,1044
1680,0,174,804,922
1680,1,102,510,2836
1680,1,110,1432,3604
1680,1,120,1195,3589
1680,1,175,496,2848
1680,1,169,1274,3525
1800,0,5,659,939
1800,0,9,587,956
1800,0,17,587,939
1800,1,176,1344,3472
1800,0,33,624,871
1800,1,167,1300,3636
1800,0,39,908,2377
1800,0,34,736,912
1800,1,53,1300,3604
1800,0,172,587,868
1800,1,171,1291,3537
1800,1,166,1291,3636
1800,1,75,1344,3472
1800,0,168,587,1012
1800,0,165,555,1012
1800,0,170,1151,629
1800,1,164,1387,3636
1800,0,97,675,868
1800,0,100,587,1044
1800,0,174,804,922
1800,1,102,506,2840
1800,1,110,1368,3525
1800,0,177,804,902
1800,1,120,1195,3589
1800,1,175,496,2848
1800,1,169,1195,3604
1920,0,5,555,948
1920,0,9,587,956
1920,0,17,587,939
1920,1,176,1344,3472
1920,0,33,555,852
1920,1,167,1297,3592
1920,0,39,839,2448
1920,0,34,736,912
1920,1,53,1300,3525
1920,0,172,642,866
1920,1,171,1291,3636
1920,1,166,1300,3636
1920,1,75,1344,3472
1920,0,168,675,948
1920,0,165,668,947
1920,0,170,1611,492
1920,1,164,1387,3525
1920,0,97,587,843
1920,0,100,669,956
1920,0,174,804,922
1920,1,102,457,2884
1920,1,110,1432,3604
1920,0,177,794,896
1920,1,120,1274,3525
1920,1,175,496,2848
1920,1,169,1195,3604
2040,0,5,555,948
2040,0,9,660,953
2040,0,17,587,939
2040,1,176,1497,3604
2040,0,33,555,852
2040,1,167,1195,3604
2040,0,39,769,2520
2040,0,34,736,912
2040,1,53,1291,3604
2040,0,172,592,868
2040,1,171,1299,3574
2040,1,166,1300,3534
2040,1,75,1344,3472
2040,0,168,587,1012
2040,0,165,555,1012
2040,0,170,2062,799
2040,1,164,1387,3636
2040,0,97,587,843
2040,0,100,587,1044
2040,0,174,804,922
2040,1,102,504,2847
2040,1,110,1432,3604
2040,0,177,799,866
2040,1,120,1195,3589
2040,1,175,496,2848
2040,1,169,1195,3604
2160,0,5,673,939
2160,0,9,587,956
2160,0,17,664,939
2160,1,176,1419,3530
2160,0,33,656,869
2160,1,167,1226,3571
2160,0,39,700,2592
2160,0,34,736,912
2160,1,53,1291,3604
2160,0,172,587,868
2160,1,171,1300,3587
2160,1,166,1300,3604
2160,1,75,1344,3472
2160,0,168,587,1012
2160,1,179,1344,3472
2160,0,165,555,1012
2160,0,170,2290,1274
2160,1,164,1387,3584
2160,0,97,640,872
2160,0,100,587,1044
2160,0,174,804,922
2160,0,178,794,912
2160,1,102,547,2931
2160,1,110,1368,3525
2160,0,177,794,872
2160,1,120,1195,3589
2160,1,175,496,2848
2160,1,169,1195,3540
2280,0,5,555,948
2280,0,9,587,956
2280,0,17,587,939
2280,1,176,1478,3604
2280,0,33,555,852
2280,1,167,1237,3564
2280,0,39,622,2645
2280,0,34,736,912
2280,1,53,1291,3528
2280,0,172,587,868
2280,1,171,1300,3636
2280,1,166,1300,3603
2280,1,75,1344,3472
2280,0,168,644,979
2280,1,179,1344,3472
2280,0,165,608,982
2280,1,180,576,2992
2280,0,170,1885,1679
2280,1,164,1387,3636
2280,0,97,587,843
2280,0,100,630,998
2280,0,174,886,861
2280,0,178,812,892
2280,1,102,655,2924
2280,1,110,1432,3604
2280,0,177,794,872
2280,1,120,1250,3535
2280,1,175,496,2848
2280,1,169,1195,3540
2400,0,5,555,948
2400,0,9,587,956
2400,0,17,587,939
2400,1,176,1478,3604
2400,0,33,555,852
2400,1,167,1195,3604
2400,0,39,525,2668
2400,0,34,736,912
2400,1,53,1291,3604
2400,0,172,654,865
2400,1,171,1273,3470
2400,1,166,1300,3543
2400,1,75,1344,3472
2400,0,168,609,987
2400,1,179,1344,3472
2400,0,165,555,1012
2400,1,180,576,2992
2400,0,170,1480,2012
2400,1,164,1387,3636
2400,0,97,896,694
2400,0,100,599,1034
2400,0,174,983,839
2400,0,178,812,892
2400,1,102,559,2981
2400,1,110,1432,3604
2400,0,177,794,872
2400,1,120,1195,3589
2400,1,175,496,2848
2400,1,169,1195,3540
2520,0,5,663,935
2520,0,9,675,955
2520,0,17,593,939
2520,1,176,1413,3540
2520,0,33,614,868
2520,0,182,805,922
2520,1,167,1195,3604
2520,0,39,447,2689
2520,0,34,736,912
2520,1,53,1291,3604
2520,0,172,589,868
2520,1,171,1366,3339
2520,1,166,1300,3604
2520,1,75,1344,3472
2520,0,168,587,1012
2520,1,179,1291,3636
2520,0,165,654,961
2520,1,180,576,2992
2520,0,170,1053,2374
2520,1,164,1387,3536
2520,0,97,1359,424
2520,0,100,587,1044
2520,0,174,1081,817
2520,0,178,812,885
2520,1,102,596,2994
2520,1,110,1382,3537
2520,0,177,794,865
2520,1,120,1204,3589
2520,1,181,1344,3472
2520,1,175,496,2848
2520,1,169,1274,3525
2640,0,5,555,948
2640,0,9,587,956
2640,0,17,622,939
2640,1,176,1478,3604
2640,0,33,557,852
2640,0,182,805,922
2640,1,167,1195,3604
2640,0,39,447,2689
2640,1,48,1344,3296
2640,0,34,736,912
2640,1,53,1289,3553
2640,0,172,587,868
2640,1,171,1364,3375
2640,1,166,1300,3604
2640,1,75,1344,3472
2640,0,168,587,1012
2640,1,179,1300,3525
2640,0,165,555,1012
2640,1,180,576,2992
2640,0,170,737,2818
2640,1,164,1387,3636
2640,0,97,1704,280
2640,0,100,593,1037
2640,0,174,1178,795
2640,0,178,587,843
2640,1,102,538,2974
2640,1,110,1427,3602
2640,0,177,587,809
2640,1,120,1224,3561
2640,1,181,1344,3472
2640,1,175,496,2848
2640,1,169,1197,3542
2760,0,5,555,948
2760,0,9,587,956
2760,0,17,587,939
2760,1,176,1478,3598
2760,0,33,555,852
2760,0,182,805,922
2760,1,167,1274,3525
2760,0,39,447,2689
2760,1,48,1344,3296
2760,0,34,736,912
2760,1,53,1290,3603
2760,0,172,587,868
2760,1,171,1370,3270
2760,1,166,1300,3525
2760,1,75,1344,3472
2760,0,168,640,982
2760,1,179,1300,3636
2760,0,165,555,1012
2760,1,180,576,2992
2760,0,170,594,3156
2760,1,164,1387,3534
2760,0,97,1728,304
2760,0,100,628,1004
2760,0,174,1276,773
2760,0,178,586,852
2760,1,102,538,2975
2760,1,110,1432,3604
2760,0,177,556,843
2760,1,120,1047,3315
2760,1,181,1342,3573
2760,1,175,496,2848
2760,1,183,1344,3472
2760,1,169,1195,3540
2880,0,5,642,937
2880,0,184,794,922
2880,0,9,587,956
2880,0,17,587,939
2880,1,176,1455,3583
2880,0,33,569,852
2880,0,182,587,939
2880,1,167,1196,3604
2880,0,39,447,2689
2880,1,48,1344,3296
2880,0,34,736,912
2880,1,53,1291,3636
2880,0,172,675,868
2880,1,171,1367,3299
2880,1,166,1291,3604
2880,1,75,1344,3472
2880,0,168,623,974
2880,1,179,1300,3636
2880,0,165,660,938
2880,1,180,576,2992
2880,0,170,814,3279
2880,1,164,1387,3636
2880,0,97,1728,304
2880,0,100,587,1003
2880,0,174,1373,751
2880,0,178,587,1044
2880,1,102,635,3017
2880,1,110,1403,3558
2880,0,177,652,869
2880,1,120,828,3345
2880,1,181,1344,3595
2880,1,175,496,2848
2880,1,183,1344,3472
2880,1,169,1195,3540
3000,0,5,555,948
3000,0,184,794,922
3000,0,9,560,944
3000,0,17,672,935
3000,1,176,1478,3604
3000,0,33,582,852
3000,0,182,587,939
3000,1,167,1195,3604
3000,0,39,447,2689
3000,1,48,1344,3296
3000,0,34,736,912
3000,1,53,1300,3525
3000,0,172,587,868
3000,1,171,1341,3249
3000,1,166,1291,3604
3000,1,75,1344,3472
3000,0,168,587,1012
3000,1,179,1300,3636
3000,0,165,555,1012
3000,1,180,576,2992
3000,0,170,933,3246
3000,1,164,1387,3636
3000,0,97,1728,304
3000,0,100,651,918
3000,0,174,1471,729
3000,0,178,587,1044
3000,1,102,581,3005
3000,1,110,1424,3600
3000,0,177,603,841
3000,1,120,1025,3259
3000,1,181,1342,3604
3000,1,175,496,2848
3000,1,183,1344,3472
3000,1,169,1235,3524
3120,0,5,672,935
3120,0,184,794,922
3120,0,9,555,948
3120,0,17,587,948
3120,1,176,1461,3571
3120,0,33,555,852
3120,0,182,587,939
3120,1,167,1195,3604
3120,0,39,447,2689
3120,1,48,1344,3296
3120,0,34,736,912
3120,1,53,1300,3636
3120,0,172,587,868
3120,1,171,1376,3381
3120,1,166,1290,3525
3120,1,75,1344,3472
3120,0,168,587,1012
3120,1,179,1300,3636
3120,0,165,555,1012
3120,1,180,576,2992
3120,0,170,566,3036
3120,1,164,1387,3547
3120,0,97,1728,304
3120,0,174,1568,705
3120,0,178,670,955
3120,1,102,557,2977
3120,1,110,1432,3604
3120,0,177,587,843
3120,1,185,1344,3472
3120,1,120,497,3097
3120,0,173,736,736
3120,1,181,1342,3587
3120,1,175,496,2848
3120,1,183,1336,3604
3120,1,169,1258,3540
3240,0,5,563,948
3240,0,184,646,1048
3240,0,9,580,943
3240,0,17,555,939
3240,1,176,1475,3603
3240,0,33,595,858
3240,0,182,675,936
3240,1,167,1246,3549
3240,0,39,447,2689
3240,1,48,1344,3296
3240,0,34,736,912
3240,1,53,1299,3636
3240,0,172,587,868
3240,1,171,1376,3419
3240,1,166,1291,3636
3240,1,75,1344,3472
3240,0,168,671,948
3240,1,179,1291,3636
3240,0,165,622,969
3240,1,180,576,2992
3240,0,170,731,2702
3240,1,164,1387,3633
3240,0,97,1728,304
3240,0,174,1664,681
3240,0,178,587,1044
3240,1,102,563,3026
3240,1,110,1430,3587
3240,0,186,794,922
3240,0,177,587,843
3240,1,185,1344,3472
3240,1,120,633,2800
3240,0,173,736,736
3240,1,181,1387,3636
3240,1,175,496,2848
3240,1,183,1337,3602
3240,1,169,1195,3540
3360,0,5,555,939
3360,0,184,656,1056
3360,0,9,562,939
3360,0,17,592,941
3360,1,176,1350,3339
3360,0,33,555,852
3360,0,182,587,948
3360,1,167,1214,3587
3360,0,39,447,2689
3360,1,48,1344,3296
3360,0,34,736,912
3360,1,53,1291,3636
3360,0,172,610,868
3360,1,171,1378,3401
3360,1,166,1300,3633
3360,1,75,1344,3472
3360,0,168,587,1012
3360,1,179,1338,3339
3360,0,165,555,1012
3360,1,187,1344,3472
3360,1,180,576,2992
3360,0,170,1095,2286
3360,1,164,1386,3525
3360,0,97,1728,304
3360,0,174,1713,667
3360,0,178,587,1044
3360,1,102,581,3011
3360,1,110,1396,3571
3360,0,186,794,922
3360,0,177,675,868
3360,1,185,1353,3575
3360,1,120,1185,2721
3360,0,173,736,736
3360,1,181,1387,3629
3360,1,175,496,2848
3360,1,183,1291,3604
3360,1,169,1195,3540
3480,0,5,675,937
3480,0,184,656,1056
3480,0,9,587,939
3480,0,17,605,943
3480,1,176,1400,3339
3480,0,33,555,852
3480,0,182,587,939
3480,1,167,1195,3604
3480,0,39,447,2689
3480,1,48,1344,3296
3480,0,34,736,912
3480,0,189,799,906
3480,1,53,1236,3604
3480,0,172,587,868
3480,1,171,1376,3398
3480,1,166,1300,3538
3480,1,75,1344,3472
3480,0,168,587,1012
3480,1,179,1400,3367
3480,0,165,651,964
3480,1,187,1344,3472
3480,1,180,576,2992
3480,0,170,1411,1849
3480,1,164,1396,3604
3480,0,97,1728,304
3480,0,174,1713,667
3480,0,178,613,1013
3480,1,102,495,2960
3480,1,110,1496,3604
3480,0,186,804,912
3480,0,177,587,843
3480,1,185,1352,3574
3480,1,120,1714,2589
3480,0,173,736,736
3480,1,181,1387,3604
3480,1,188,528,2912
3480,1,175,496,2848
3480,1,183,1287,3527
3480,1,169,1195,3540
3600,0,5,555,948
3600,0,184,656,1056
3600,0,9,587,939
3600,0,17,587,948
3600,1,176,1376,3339
3600,0,33,562,852
3600,0,182,587,987
3600,1,167,1195,3604
3600,0,39,447,2689
3600,1,48,1344,3296
3600,0,34,736,912
3600,0,189,805,901
3600,1,53,1288,3537
3600,0,172,587,868
3600,1,171,1400,3419
3600,1,166,1300,3636
3600,1,75,1344,3472
3600,0,168,675,948
3600,1,179,1400,3339
3600,0,165,555,1012
3600,1,187,1344,3472
3600,1,180,576,2992
3600,0,170,1814,2167
3600,1,164,1396,3604
3600,0,97,1728,304
3600,0,174,1713,667
3600,0,178,608,1016
3600,1,102,496,2872
3600,1,110,1449,3559
3600,0,186,804,912
3600,0,177,587,843
3600,1,185,1388,3636
3600,1,120,2208,2354
3600,0,173,736,736
3600,1,181,1387,3636
3600,1,188,528,2912
3600,1,175,496,2848
3600,1,183,1300,3604
3600,1,169,1255,3524
3720,0,5,555,948
3720,0,184,656,1056
3720,0,9,587,939
3720,0,17,563,939
3720,1,176,1400,3339
3720,0,33,564,852
3720,0,182,609,987
3720,1,167,1212,3586
3720,0,39,447,2689
3720,1,48,1344,3296
3720,0,34,736,912
3720,0,189,805,901
3720,1,53,1236,3604
3720,0,172,657,865
3720,1,171,1400,3419
3720,1,166,1300,3635
3720,1,75,1344,3472
3720,0,168,583,1003
3720,1,179,1376,3339
3720,0,165,555,1012
3720,1,187,1340,3604
3720,1,180,576,2992
3720,0,170,2106,1981
3720,1,164,1394,3549
3720,0,97,1728,304
3720,0,174,1713,667
3720,0,178,587,1044
3720,1,102,512,2933
3720,1,190,1344,3472
3720,1,110,1477,3604
3720,0,186,804,912
