frame,pID,unitID,x,y
1680,1,44,2229,3829
1680,1,50,2230,3893
1680,0,55,875,235
1680,1,56,2260,3956
1680,1,61,2112,3824
1680,1,155,2222,3875
1680,0,83,934,276
1680,0,158,907,387
1680,0,88,1056,272
1680,0,164,912,157
1680,1,159,2270,3789
1680,1,166,2112,3824
1680,0,154,907,404
1680,1,157,2260,3941
1680,1,116,2292,3883
1680,0,156,907,340
1680,0,167,1056,272
1680,1,161,2112,3921
1680,1,165,2096,3904
1800,0,162,1536,224
1800,1,163,2247,3787
1800,0,160,946,209
1800,0,37,907,276
1800,0,40,907,195
1800,1,44,2285,3825
1800,1,50,2260,3892
1800,0,55,1081,221
1800,1,56,2183,3878
1800,1,61,2112,3824
1800,1,155,2260,3877
1800,0,83,875,276
1800,0,158,964,331
1800,0,88,1056,272
1800,0,164,913,144
1800,1,159,2292,3787
1800,1,166,2112,3824
1800,0,154,907,404
1800,1,157,2260,3941
1800,1,116,2217,3877
1800,0,156,934,322
1800,0,167,1056,272
1800,1,161,2133,3861
1800,1,165,2096,3904
1920,0,162,1536,224
1920,0,168,1568,304
1920,1,163,2200,3787
1920,0,160,907,171
1920,0,37,907,276
1920,0,40,987,255
1920,1,44,2292,3828
1920,1,50,2260,3892
1920,0,55,1546,262
1920,1,56,2257,3956
1920,1,61,2112,3824
1920,1,155,2254,3877
1920,0,83,894,276
1920,0,158,907,387
1920,0,88,1056,272
1920,0,164,907,139
1920,1,159,2279,3787
1920,1,166,2224,3836
1920,0,154,907,404
1920,1,157,2202,3883
1920,1,116,2287,3886
1920,0,156,978,334
1920,0,167,1056,272
1920,1,161,2066,3903
1920,1,165,2096,3904
2040,0,162,1536,224
2040,1,169,2112,3824
2040,0,168,1568,304
2040,1,163,2260,3723
2040,0,160,907,171
2040,0,37,907,276
2040,0,40,907,195
2040,1,44,2182,3830
2040,1,50,2260,3892
2040,0,55,1772,604
2040,1,56,2260,3956
2040,1,61,2112,3824
2040,1,155,2193,3877
2040,0,83,889,275
2040,0,158,907,387
2040,0,88,1056,272
2040,0,164,936,171
2040,1,159,2218,3787
2040,0,170,1056,272
2040,1,166,2230,3785
2040,0,154,985,314
2040,1,157,2260,3941
2040,1,116,2292,3883
2040,0,156,907,340
2040,0,167,875,259
2040,1,161,1994,3869
2040,1,165,2096,3904
2160,0,162,1536,224
2160,1,169,2112,3824
2160,0,168,1568,304
2160,1,163,2253,3723
2160,0,160,988,235
2160,0,37,963,273
2160,0,40,907,195
2160,1,44,2292,3828
2160,1,50,2209,3876
2160,0,55,1568,1023
2160,1,56,2213,3908
2160,1,61,2112,3824
2160,1,155,2260,3877
2160,0,83,875,276
2160,0,158,974,337
2160,0,88,1056,272
2160,0,164,909,140
2160,1,159,2292,3787
2160,0,170,1056,272
2160,1,166,2260,3787
2160,0,154,909,404
2160,1,171,1984,3888
2160,1,157,2260,3941
2160,1,116,2205,3877
2160,0,156,907,340
2160,0,167,988,256
2160,1,161,1924,3887
2160,1,165,2096,3904
2280,0,162,1536,224
2280,1,169,2285,3787
2280,0,168,1568,304
2280,1,163,2207,3776
2280,0,160,907,171
2280,0,37,965,276
2280,0,40,957,227
2280,1,44,2118,3691
2280,1,50,2201,3892
2280,0,55,1508,1588
2280,1,56,2225,3923
2280,1,61,2112,3824
2280,1,155,2260,3877
2280,0,83,951,274
2280,0,158,907,386
2280,0,88,1056,272
2280,0,164,907,139
2280,1,159,2292,3787
2280,0,170,1056,272
2280,1,166,2259,3787
2280,0,154,907,404
2280,1,171,1984,3888
2280,1,157,2191,3875
2280,1,116,2271,3884
2280,0,156,907,340
2280,0,167,875,235
2280,1,161,1922,3974
2280,1,165,2096,3904
2400,0,8,1056,96
2400,0,162,1536,224
2400,1,169,2292,3828
2400,0,168,1568,304
2400,1,163,2260,3723
2400,0,160,907,171
2400,0,37,907,276
2400,0,40,908,196
2400,1,44,2119,3690
2400,1,50,2260,3892
2400,0,55,1547,2105
2400,1,56,2260,3956
2400,1,61,2112,3824
2400,1,155,2182,3879
2400,0,83,875,275
2400,0,158,907,387
2400,0,88,1056,272
2400,1,94,2112,3648
2400,0,164,926,159
2400,1,159,2182,3787
2400,0,170,908,233
2400,1,166,2200,3787
2400,0,154,907,404
2400,1,171,1984,3888
2400,1,157,2260,3941
2400,1,116,2292,3883
2400,0,172,1056,272
2400,0,156,957,321
2400,0,167,875,235
2400,1,161,1994,3819
2400,1,165,2096,3904
2520,0,8,1056,96
2520,0,162,1536,224
2520,1,169,2292,3828
2520,0,168,1568,304
2520,1,163,2182,3787
2520,0,160,957,203
2520,0,37,875,276
2520,0,40,907,195
2520,1,44,2198,3722
2520,1,50,2260,3892
2520,0,55,1627,2648
2520,1,56,2260,3956
2520,1,61,2112,3824
2520,1,155,2260,3877
2520,0,83,875,235
2520,0,158,907,387
2520,0,88,1056,272
2520,1,94,2112,3648
2520,0,164,911,142
2520,1,159,2292,3787
2520,0,170,945,277
2520,1,166,2260,3787
2520,0,154,911,399
2520,1,171,1984,3888
2520,1,157,2260,3941
2520,1,116,2287,3883
2520,0,172,1056,272
2520,0,156,950,341
2520,1,173,2112,3824
2520,0,167,951,233
2520,1,161,1910,3873
2520,1,165,2096,3904
2640,0,8,1056,96
2640,0,162,1536,224
2640,1,169,2186,3828
2640,0,168,1568,304
2640,1,163,2260,3723
2640,0,160,907,171
2640,0,37,919,276
2640,0,40,924,194
2640,1,44,2200,3615
2640,1,50,2260,3892
2640,0,55,1488,3177
2640,1,56,2182,3877
2640,1,61,2112,3824
2640,1,155,2260,3877
2640,0,83,970,232
2640,0,158,929,365
2640,0,88,1056,272
2640,1,94,2112,3648
2640,0,174,1056,272
2640,0,164,907,139
2640,1,159,2292,3787
2640,0,170,875,276
2640,1,166,2260,3787
2640,0,154,959,353
2640,1,171,1984,3888
2640,1,157,2182,3877
2640,1,116,2210,3883
2640,0,172,939,292
2640,0,156,907,340
2640,1,173,2112,3824
2640,0,167,875,276
2640,1,161,1982,3826
2640,1,165,2096,3904
2760,0,8,1056,96
2760,0,162,1536,224
2760,1,169,2292,3828
2760,0,168,1568,304
2760,1,163,2260,3723
2760,0,160,907,171
2760,0,37,925,276
2760,0,40,953,240
2760,1,44,2060,3731
2760,1,50,2260,3892
2760,0,55,1299,3581
2760,1,56,2260,3956
2760,1,61,2112,3824
2760,1,155,2183,3880
2760,0,83,880,237
2760,0,158,907,387
2760,1,175,2112,3824
2760,0,88,1056,272
2760,1,94,2112,3648
2760,0,174,1056,272
2760,0,164,933,167
2760,1,159,2182,3787
2760,0,170,879,276
2760,1,166,2182,3787
2760,0,154,907,404
2760,1,171,1984,3888
2760,1,157,2260,3941
2760,1,116,2292,3883
2760,0,172,908,342
2760,0,156,876,276
2760,1,173,2260,3877
2760,0,167,875,276
2760,1,161,1925,3847
2760,1,165,2096,3904
2880,0,8,1056,96
2880,0,162,1536,224
2880,1,169,2271,3787
2880,0,168,1568,304
2880,1,163,2198,3785
2880,0,160,915,170
2880,0,37,907,171
2880,0,40,907,195
2880,1,44,2201,3669
2880,1,50,2221,3876
2880,0,55,1635,3639
2880,1,56,2260,3956
2880,1,61,2112,3824
2880,1,155,2292,3828
2880,0,83,875,276
