ProtossPylon,ProtossSecondPylon,ProtossFirstGas,ProtossSecondGas,ProtossFirstExpansion,ProtossSecondExpansion,ProtossThirdExpansion,ProtossFourthExpansion,ProtossGateway,ProtossSecondGatway,ProtossThirdGatway,ProtossFourthGatway,ProtossCore,ProtossZealot,ProtossGoon,ProtossRange,ProtossForge,ProtossCannon,ProtossGroundWeapons1,ProtossGroundArmor1,ProtossShields1,ProtossGroundWeapons2,ProtossGroundArmor2,ProtossShields2,ProtossCitadel,ProtossLegs,ProtossArchives,ProtossTemplar,ProtossArchon,ProtossStorm,ProtossDarkTemplar,ProtossDarkArchon,ProtossMaelstorm,ProtossRoboBay,ProtossShuttle,ProtossShuttleSpeed,ProtossRoboSupport,ProtossReavor,ProtossReavorDamage,ProtossReavorCapacity,ProtossObservory,ProtossObs,ProtossStargate,ProtossCorsair,ProtossDisruptionWeb,ProtossFleetBeason,ProtossCarrier,ProtossCarrierCapacity,ProtossTribunal,ProtossArbitor,ProtossStatis,ProtossRecall,ProtossAirWeapons1,ProtossAirArmor1,ProtossAirWeapons2,ProtossAirArmor2,midBuild
1150,3430,2425,13350,8805,11255,24320,0,2040,5685,15945,0,3085,8095,4085,15965,9825,10570,0,0,0,0,0,0,4405,0,5435,0,0,0,6580,0,0,9580,13430,0,0,0,0,0,14645,17010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1280,3670,2425,12715,7130,15360,24145,0,2035,8310,11305,15820,3225,3410,4215,7760,13800,14860,14625,27385,0,20240,0,0,11365,12920,12950,15865,0,15885,15095,0,0,5630,9360,0,0,0,0,0,7090,7655,20390,0,0,21860,23255,24250,0,0,0,0,0,0,0,0,FastObs
1155,3605,2375,30175,9330,10425,19460,24285,1800,11890,12755,15195,3145,7395,4160,12680,21970,23555,23640,0,0,27690,0,0,11340,15130,19635,20805,21745,0,22465,0,0,4305,5665,6950,6045,6605,0,0,5695,13705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1290,3610,2570,8720,7285,14295,0,0,2030,7685,0,0,3210,13670,4200,0,15240,19015,0,0,0,0,0,0,5840,0,6895,0,0,0,8005,0,0,11590,12990,0,0,0,0,0,14555,16415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1265,3165,7005,26500,21365,27030,36360,36735,2025,2480,18310,22660,9235,3020,10310,17370,4765,5575,35005,35990,60460,40745,40760,0,16590,17890,27275,47655,0,47635,43545,0,0,17345,19145,40825,38915,0,0,0,19630,22835,11795,0,0,13100,14200,15390,0,0,0,0,11315,0,0,0,Carrier
1148,3654,2402,0,9514,16450,16854,21450,2066,9796,12064,14066,3218,8614,4204,8402,23614,0,0,0,0,0,0,0,9254,14040,11204,17424,24986,17410,12672,0,0,24336,0,0,0,0,0,0,0,0,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,Carrier
1290,3610,2570,8720,7285,14295,0,0,2030,7685,0,0,3210,13670,4200,0,15240,19015,0,0,0,0,0,0,5840,0,6895,0,0,0,8005,0,0,11590,12990,0,0,0,0,0,14555,16415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1228,2632,2344,16812,10252,16472,24104,25160,1870,4024,11492,14286,3586,8558,4910,7434,9372,11102,11364,16914,30632,16130,21460,36970,6602,7842,13230,16688,22996,16120,16588,0,0,6992,12218,0,0,0,0,0,8284,8902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastLegs
1300,4150,2720,8800,7795,18675,0,0,2315,7310,11575,0,3670,3610,4750,10155,0,0,0,0,0,0,0,0,4935,0,6320,0,0,0,7960,0,0,12810,14220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1275,3715,2390,17440,8775,11410,17515,18120,2010,7160,9135,9555,3125,13700,4255,5995,13470,14550,15570,37960,21855,30550,0,25945,5370,13375,6580,29075,31480,28955,7805,0,0,12765,14390,0,0,0,0,0,14425,15255,17470,0,0,18965,20260,0,0,0,0,0,21275,26025,25980,0,FastDT
1260,3695,2500,12190,10355,17180,17915,22720,1960,11145,11715,14805,3150,17045,4320,4440,15455,17590,17105,17120,0,21715,21725,0,14860,17090,20275,21670,0,21700,0,0,0,6505,7840,9450,7885,8815,0,0,10650,11280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1330,3660,2440,16340,10555,11620,18170,18815,1985,7495,9845,12355,3140,9360,4185,4365,0,0,0,0,0,0,0,0,12245,13275,0,0,0,0,0,0,0,6020,9015,30910,29350,0,0,0,7315,8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1370,3005,2540,0,22435,0,0,0,5155,7480,0,0,6175,0,0,0,3200,4545,0,0,0,0,0,0,7170,0,8190,0,0,0,10030,0,0,7295,10835,0,0,0,0,0,0,0,20930,0,0,24820,0,0,0,0,0,0,0,0,0,0,FastDT
1250,3545,2365,20130,8170,13305,29135,31805,2195,6780,11425,15555,3285,20920,4305,5915,8775,10560,10370,16010,0,21410,26865,0,5260,19935,19995,22080,0,21575,27300,0,0,5750,27145,0,0,0,0,0,7135,7730,26655,0,0,27905,29060,29075,0,0,0,0,0,0,0,0,FastLegs
1202,3832,2582,13848,8578,12464,19052,0,2166,6552,13680,21422,3582,3248,4584,4572,11592,12832,0,0,0,0,0,0,10764,11952,0,0,0,0,0,0,0,5758,0,0,0,0,0,0,7428,8046,13992,0,0,15648,16854,16836,0,0,0,0,0,0,0,0,FastObs
1285,2910,2745,9570,6425,0,0,0,2105,4415,8350,16790,3865,3200,5125,0,0,0,0,0,0,0,0,0,11735,0,14140,0,0,0,16675,0,0,6715,9675,0,0,0,0,0,8150,8865,14630,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1300,3795,2655,9220,8920,14105,15080,17750,2040,6310,14450,15860,3295,11335,4440,4640,10515,21490,14515,0,0,25030,0,0,10450,11615,12340,21860,35115,21890,14965,43080,0,5960,8355,0,0,0,0,0,7590,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1260,3610,2470,11610,8830,15230,21795,0,2010,7145,10250,12055,3175,14860,4190,4500,10665,12940,12145,0,0,17690,0,0,12080,13505,13480,15945,0,15640,17000,0,0,5940,14835,19585,15785,0,0,0,7380,8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1255,3570,2415,0,0,0,0,0,1965,4060,8180,0,3265,5100,4275,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6035,0,0,7895,8880,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1175,3540,2410,11425,9800,15345,21860,27790,1955,5230,11945,15880,3175,4125,5435,5685,12415,13270,14510,21215,30480,30515,30525,0,9370,11470,11140,16570,18740,16610,12335,0,0,4610,8285,15285,14640,16105,0,0,5935,7385,28405,0,0,30135,31700,31725,0,0,0,0,0,0,0,0,FastObs
1170,2960,2180,10610,9150,15575,21035,0,1815,5575,12730,14455,3595,2875,6350,5775,13130,15990,16050,19125,0,0,0,0,9685,11280,10980,13795,18820,13585,12470,0,0,4775,7095,7995,7430,8355,0,0,6790,9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1330,3660,2440,16340,10555,11620,18170,18815,1985,7495,9845,12355,3140,9360,4185,4365,0,0,0,0,0,0,0,0,12245,13275,0,0,0,0,0,0,0,6020,9015,30910,29350,0,0,0,7315,8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1240,3480,2285,22595,10270,14440,27795,28905,2030,6365,12900,17630,3030,12120,4025,5575,13565,16360,15190,34265,0,21180,0,0,11235,12595,20130,34975,0,0,21725,0,0,5435,11595,30295,28410,0,0,0,6835,7440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1250,3532,2302,20436,8084,13674,20584,20974,1880,6184,12560,14018,2964,13946,4610,8388,12748,13848,13796,21870,28056,29760,29770,33698,11278,12508,28032,33724,0,33664,0,0,0,4144,6490,7984,6828,7428,0,0,5444,5984,21920,0,0,23808,25238,25282,0,0,0,0,23984,33830,30678,0,FastObs
1245,3545,2515,0,0,0,0,0,2140,5275,0,0,3200,0,4235,5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4765,0,0,0,0,0,0,6140,6685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1215,3430,2445,12875,9210,12295,12930,14455,1940,5205,10415,15060,3010,15230,4040,4380,17420,18885,29685,0,24960,0,0,0,6105,15245,7285,18605,0,18640,8525,0,0,9925,11625,0,0,0,0,0,16020,18495,21560,0,0,23090,24795,24830,0,0,0,0,23155,27715,27680,0,FastDT
1290,3840,2480,11525,9650,14480,16650,18010,2045,6745,11320,14220,3225,7705,4580,7170,23160,0,25065,25100,0,0,0,0,4375,20490,5525,0,0,0,15890,18075,21365,0,0,0,0,0,0,0,0,0,6205,0,0,0,0,0,7460,9275,21305,12610,0,0,0,0,FastDT
1225,3405,2295,8900,7320,13405,17875,22570,1860,8025,9675,12110,3070,10050,4515,13100,10285,11080,11055,15935,0,34215,31015,0,7430,11325,8615,10590,27765,9980,14880,0,0,4145,5475,9090,8250,0,0,0,6300,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1290,3610,2570,8720,7285,14295,0,0,2030,7685,0,0,3210,13670,4200,0,15240,19015,0,0,0,0,0,0,5840,0,6895,0,0,0,8005,0,0,11590,12990,0,0,0,0,0,14555,16415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastDT
1220,3450,2320,0,8820,9380,0,0,1930,7435,10615,10995,2960,9830,3955,5345,12945,13905,15080,0,0,19490,0,0,8930,9955,10170,0,0,0,11680,0,0,5020,0,0,0,0,0,0,6380,7060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1240,3480,2285,22595,10270,14440,27795,28905,2030,6365,12900,17630,3030,12120,4025,5575,13565,16360,15190,34265,0,21180,0,0,11235,12595,20130,34975,0,0,21725,0,0,5435,11595,30295,28410,0,0,0,6835,7440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1415,3470,2340,0,8595,9980,0,0,2030,6375,10450,10695,3090,9370,4080,5170,0,0,0,0,0,0,0,0,8970,11400,0,0,0,0,0,0,0,4870,0,0,0,0,0,0,6280,6985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1250,3440,2495,0,0,0,0,0,2085,0,0,0,3145,5675,4140,5180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4595,6110,0,6080,7085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ReaverDrop
1220,3510,2330,20425,8335,9300,20990,25235,1955,5915,10300,11165,3005,10175,4045,5315,16970,18160,18310,33320,0,22560,0,0,9670,10715,18735,0,0,0,20310,0,0,4680,31005,0,0,0,0,0,6070,6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1300,3175,2600,11245,6670,17770,23950,0,2215,8310,9470,16210,3945,3245,5120,5130,13495,15140,14520,0,0,20455,0,0,13885,17365,17700,20485,26255,20465,21070,0,0,7680,10525,0,0,0,0,0,9055,10600,26580,0,0,0,0,0,0,0,0,0,0,0,0,0,FastExpand
1212,3462,2476,0,0,0,0,0,2062,6756,0,0,3110,8210,4118,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4674,7454,0,0,0,0,0,6048,6778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1212,3462,2476,0,0,0,0,0,2062,6756,0,0,3110,8210,4118,7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4674,7454,0,0,0,0,0,6048,6778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1268,3448,1632,0,10042,0,0,0,2254,8638,0,0,3270,6050,4370,7430,0,0,0,0,0,0,0,0,9050,0,0,0,0,0,0,0,0,4262,5552,0,7588,9182,0,0,5638,6402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1252,3586,2540,12980,7486,12014,17402,22464,1980,6282,9090,13418,3226,13178,4216,5930,17660,19542,18458,35126,0,22510,0,0,11744,12864,17538,22560,24720,20740,18894,0,0,5132,8320,24790,23854,0,0,0,6442,7052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FastObs
1190,3528,2430,16656,7124,11694,16334,18046,1870,7614,11650,12640,3024,12442,4112,5884,14256,15738,15776,24982,25008,20584,0,0,10902,12002,14772,17790,0,16274,24946,0,0,4590,8312,0,23112,0,0,0,5990,6580,26640,0,0,0,0,0,0,0,0,0,26678,0,0,0,FastObs
1265,3165,7005,26500,21365,27030,36360,36735,2025,2480,18310,22660,9235,3020,10310,17370,4765,5575,35005,35990,60460,40745,40760,0,16590,17890,27275,47655,0,47635,43545,0,0,17345,19145,40825,38915,0,0,0,19630,22835,11795,0,0,13100,14200,15390,0,0,0,0,11315,0,0,0,Carrier
